prosjektnummer,prosjekttittel,soknadsfrist,soknadsdato,utlysnings_id,utlysningsaktivitet,utlysningtittel,prosjekttype,soknadstype,soknadstypevariant,sokstart,sokslutt,prosjektfase,prosjektstart,prosjektslutt,prosjektleder_kjonn,prosjektansvarlig_type,prosjektansvarlig_navn,kortnavn,organisasjonsnummer,kp1,kp2,sektor,kategori,kommune,kommunenummer,fylke,fylkenummer,landsdel,virkemiddel_sekvens,virkemiddel,hovedaktivitet_sekvens,hovedaktivitet,aktivitet,aktivitet_kode,fagomraade,fag,fagdisiplin,dr_stip_aarsverk,postdok_aarsverk,sokt_belop,tildelt_belop,prosjektleder
118184,Grunnbevilgning - FNI,,1996-06-15 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1997,2008,Avsluttet,1997,2022,MANN,Organisasjon,FRIDTJOF NANSEN STIFTELSEN PÅ POLHØGDA,FNI,944137238,702,16,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Bærum,3201,Akershus,32,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Samf.vitensk.institutter,RBGRUNSAMF,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,14973000.0,172492000.0,Iver B. Neumann
118385,IIASA - norsk medlemskap,,1996-11-29 00:00:00,,,,Institusjonsstøtte,Ingen søknadstype,Ingen søknadstypevariant,1997,2018,Bevilgning,1997,2027,MANN,Organisasjon,International Institute for Applied Systems Analysis,IIASA,0,800,00,Utlandet,Utland,,,,,,0,Tilskudd,0,Tilskudd NFR,KONTINGENTER,KONTINGENTER,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,0.0,185679713.1,Thomas Hansteen
125263,Drift av et internasjonalt forskernettverk for fremming av tverrfaglig barneforskning,,1997-10-20 00:00:00,,,,Andre,Ingen søknadstype,Ingen søknadstypevariant,1997,2010,Avsluttet,1997,2012,MANN,Organisasjon,Childwatch International,,0,930,19,Øvrige,Øvrige andre,Oslo,0301,Oslo,03,Oslo og Akershus,1,Programmer,3,Handlingsrettede programmer,Norge - Global partner,NORGLOBAL,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig samfunnsvit og andre fagområder,0.0,0.0,0.0,25610000.0,Jon-Kristian Johnsen
126898,Administrasjon KONSULENTBISTAND fagområder  Energidata,,1998-03-17 00:00:00,,,,Andre,Annen støtte (t.o.m. 2019),Annen støtte (t.o.m. 2019) - Ingen søknadstypevariant,1998,2009,Avsluttet,1998,2011,MANN,Organisasjon,InterEnergi AS,,981106946,602,00,Næringsliv,Næringsliv,Lørenskog,3222,Akershus,32,Oslo og Akershus,1,Programmer,4,Store programmer,Fremtidens rene energisystemer,RENERGI,Teknologi,Kjemisk teknologi,Kjemisk teknologi,0.0,0.0,0.0,10851956.0,Hans Otto Haaland
126921,Marin bioteknologi i Tromsø (MABIT),,1997-10-16 00:00:00,,,,Prosjektstøtte,Forskerprosjekt,Fornyelse,1997,2012,Avsluttet,1998,2017,KVINNE,Organisasjon,NORINNOVA AS,NORINNOVA,957915035,940,00,Øvrige,Øvrige andre,Tromsø,5501,Troms - Romsa - Tromssa,55,Nord-Norge,1,Programmer,1,Brukerstyrte innovasjonsprogrammer,Marin bioteknologi i Tromsø,MABIT,Teknologi,Teknologi - tverrfaglig,Tverr/flerfaglig innen teknologi,0.0,0.0,0.0,112500000.0,Victoria Paulsen
127143,Helseøkonomisk forskningsprogram i Oslo (HERO),,1997-11-26 00:00:00,,,,Prosjektstøtte,Ingen søknadstype,Ingen søknadstypevariant,1998,2004,Avsluttet,1998,2012,MANN,Organisasjon,Institutt for helse og samfunn,UIO,0,102,12,UoH-sektor,Universiteter,Oslo,0301,Oslo,03,Oslo og Akershus,1,Programmer,3,Handlingsrettede programmer,Helse- og omsorgstjenester,TJENESTER,Samfunnsvitenskap,Økonomi,Økonomi,4.41,7.15,16437500.0,57450000.0,Tor Iversen
127144,Program for helseøkonomi i Bergen (HEB),,1997-11-26 00:00:00,,,,Prosjektstøtte,Ingen søknadstype,Ingen søknadstypevariant,1998,2004,Avsluttet,1998,2012,MANN,Organisasjon,Uni Rokkansenteret,UNI,0,702,03,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Bergen,4601,Vestland,46,Vestlandet,1,Programmer,3,Handlingsrettede programmer,Helse- og omsorgstjenester,TJENESTER,Samfunnsvitenskap,Økonomi,Økonomi,4.0,2.99,16237500.0,58250000.0,Oddvar M. Kaarbøe
131564,KILDEN,,1999-01-01 00:00:00,,,,Institusjonsstøtte,Ingen søknadstype,Ingen søknadstypevariant,1999,2020,Bevilgning,1999,2024,KVINNE,Organisasjon,KILDEN KJØNNSFORSKNING.NO,NFR,980385299,900,16,Offentlig sektor,Direktorater og andre,Bærum,3201,Akershus,32,Oslo og Akershus,7,Felleskostnader,20,Sekretariater - utgår f.o.m. 2019,"Oppstart, lønn, randsone etc.",KILDEN,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,2275000.0,111899602.75,Linda Marie Rustad
133335,Sars International Center,,1999-06-15 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,2000,2012,Avsluttet,2000,2013,MANN,Organisasjon,Sars International Centre for Marine Molecular Biology,UIB,0,101,01,UoH-sektor,Universiteter,Bergen,4601,Vestland,46,Vestlandet,3,Infrastruktur og institusjonelle tiltak,10,Strategisk institusjonsstøtte,SARS Intenational Center,SARS,Matematikk og naturvitenskap,Matematikk/naturvitenskap - tverrfaglig,Tverr/flerfaglig innen matematikk og naturvitenskap,63.27,96.62,81400000.0,217000000.0,Daniel Chourrout
138045,ESF - Humanities,,2000-01-06 00:00:00,,,,Andre,Koordinerings- og støtteaktivitet,Nettverksstøtte,2000,2011,Avsluttet,2000,2013,KVINNE,Organisasjon,European Science Foundation,ESF,0,800,00,Utlandet,Utland,,,,,,4,Nettverkstiltak,16,Internasjonale nettverkstiltak,Annet internasjonalt samarbeid,DIV-INT,Humaniora,Humaniora - tverrfaglig,Tverr/flerfaglig innen humaniora,0.0,0.0,0.0,3527582.0,Torunn Haavardsholm
145029,CERN-assosierte komitéer (NUPECC-NUPP/ESF prog),,2001-01-09 00:00:00,,,,Institusjonsstøtte,Ingen søknadstype,Ingen søknadstypevariant,2001,2014,Avsluttet,2001,2019,MANN,Organisasjon,DET MATEMATISK-NATURVITENSKAPELIGE FAKULTET,UIO,0,102,15,UoH-sektor,Universiteter,Oslo,0301,Oslo,03,Oslo og Akershus,1,Programmer,2,Grunnforskningsprogrammer,Kjerne- og partikkelforskning,CERN,Matematikk og naturvitenskap,Fysikk,Kjerne- og elementærpartikkelfysikk,0.0,0.0,170000.0,3220840.6900000004,Alexander L. Read
145361,Avtale med Universitetsforlaget om tilskudd til tidsskrift (humaniora) (doculive 200301553),,2000-06-29 00:00:00,,,,Andre,Koordinerings- og støtteaktivitet,Publiseringsstøtte,2001,2011,Avsluttet,2001,2011,KVINNE,Organisasjon,UNIVERSITETSFORLAGET AS,,930771902,930,17,Øvrige,Øvrige andre,Oslo,0301,Oslo,03,Oslo og Akershus,5,Diverse FoU-relaterte aktiviteter,18,Informasjon/formidling/publisering,Publisering/prosjektinform,PUBL,Humaniora,Humaniora - tverrfaglig,Tverr/flerfaglig innen humaniora,0.0,0.0,9768605.0,11693858.0,Ruth Jenssen
145365,Avtale med Universitetsforlaget om tilskudd til tidsskrift (samfunnsvitenskap) (doculive 200301553),,2000-06-29 00:00:00,,,,Andre,Koordinerings- og støtteaktivitet,Publiseringsstøtte,2001,2011,Avsluttet,2001,2011,KVINNE,Organisasjon,UNIVERSITETSFORLAGET AS,,930771902,930,17,Øvrige,Øvrige andre,Oslo,0301,Oslo,03,Oslo og Akershus,5,Diverse FoU-relaterte aktiviteter,18,Informasjon/formidling/publisering,Publisering/prosjektinform,PUBL,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,5807972.0,6373491.0,Ruth Jenssen
145739,SIMULA-senteret,,2001-03-09 00:00:00,,,,Institusjonsstøtte,Ingen søknadstype,Ingen søknadstypevariant,2001,2017,Bevilgning,2001,2025,MANN,Organisasjon,SIMULA RESEARCH LABORATORY AS,SIMULA,984648855,707,03,Instituttsektor,Øvrige forskningsinstitutter,Oslo,0301,Oslo,03,Oslo og Akershus,0,Tilskudd,0,Tilskudd NFR,GENSTØTTE,GENSTØTTE,Matematikk og naturvitenskap,Informasjons- og kommunikasjonsvitenskap,Matem. modellering og numeriske metoder,0.0,0.0,0.0,1832206120.0,Aslak Tveito
145814,"Centre and Network for Studies of Atomic and Molecular Clusters.
(UiO,UiB,UiTø, NTNU, Norsk Hydro, SINTEF)",,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,Kjemisk institutt,UIO,0,102,15,UoH-sektor,Universiteter,Oslo,0301,Oslo,03,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Matematikk og naturvitenskap,Kjemi,Kjemi,0.0,0.0,199000000.0,0.0,
145816,BUILDINGS 2025: Integrated Building Design for a Substainable Energy Future,,2001-03-30 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,KVINNE,Organisasjon,"Institutt for byggekunst, prosjektering og forvaltning",NTNU,0,104,22,UoH-sektor,Universiteter,Trondheim - Tråante,5001,Trøndelag - Trööndelage,50,Trøndelag,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Bygningsfag,Bygningsfag,0.0,0.0,138500000.0,0.0,
145817,Thermodynamics and Fundamentals in Sustainable Refrigeration,,2001-03-30 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,Fakultet for ingeniørvitenskap og teknologi,NTNU,0,104,20,UoH-sektor,Universiteter,Trondheim - Tråante,5001,Trøndelag - Trööndelage,50,Trøndelag,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Informasjons- og kommunikasjonsteknologi,Informasjons- og kommunikasjonsteknologi,0.0,0.0,139000000.0,0.0,
145819,Centre of Excellence for Research in the Man-Technology-Organization Area,,2001-03-30 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,INSTITUTT FOR ENERGITEKNIKK STI,IFE,959432538,706,03,Instituttsektor,Teknisk-industrielle institutter,Lillestrøm,3205,Akershus,32,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Teknologi - tverrfaglig,Andre fellesfag - teknologi (2003),0.0,0.0,153000000.0,0.0,
145820,"Advanced materials in energy and environmental techology (SINTEF, UiO, IFE)",,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,Sintef - Oslo,SINTEF,0,702,14,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Oslo,0301,Oslo,03,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Matematikk og naturvitenskap,Kjemi,Kjemi,0.0,0.0,184000000.0,0.0,
145822,"CombuScience - Combustion Research for a Better Environment (NTNU, SINTEF - Energi)",,2001-03-30 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,Avdeling Energiprosesser,SINTEF,0,706,16,Instituttsektor,Teknisk-industrielle institutter,Trondheim - Tråante,5001,Trøndelag - Trööndelage,50,Trøndelag,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Elektrotekniske fag,Elektrotekniske fag,0.0,0.0,170000000.0,0.0,
145823,Process Systems Engineering - From Natural Gas to Energy Products,,2001-03-30 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2012,Vurderes,2002,2012,MANN,Organisasjon,Institutt for teknisk kybernetikk,NTNU,0,104,21,UoH-sektor,Universiteter,Trondheim - Tråante,5001,Trøndelag - Trööndelage,50,Trøndelag,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Informasjons- og kommunikasjonsteknologi,Teknisk kybernetikk,0.0,0.0,170000000.0,0.0,
145825,"Model Driven System Development - from distributed to mobile, and pervasive systems - The MODUS Centre",,2001-04-01 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,SINTEF AVD STRINDVEGEN 4 TRONDHEIM,SINTEF,0,706,14,Instituttsektor,Teknisk-industrielle institutter,Trondheim - Tråante,5001,Trøndelag - Trööndelage,50,Trøndelag,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Informasjons- og kommunikasjonsteknologi,Informasjons- og kommunikasjonsteknologi,0.0,0.0,77000000.0,0.0,
145826,Multiphase systems,,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,DET MATEMATISK-NATURVITENSKAPELIGE FAKULTET,UIB,0,101,15,UoH-sektor,Universiteter,Bergen,4601,Vestland,46,Vestlandet,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Berg- og petroleumsfag,Berg- og petroleumsfag,0.0,0.0,168700000.0,0.0,
145827,A Centre of Excellence in Understanding the Behaviour of Particulate Materials - PARMAT,,2001-04-01 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,STIFTELSEN TEL-TEK,TELTEK,943161895,706,15,Instituttsektor,Teknisk-industrielle institutter,Porsgrunn,4001,Telemark,40,Østlandet ellers,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Berg- og petroleumsfag,Berg- og petroleumsfag,0.0,0.0,130665000.0,0.0,
145829,Norwegian Centre for System-on-a-Chip Integration (NORSOC),,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,Institutt for elektroniske systemer,NTNU,0,104,21,UoH-sektor,Universiteter,Trondheim - Tråante,5001,Trøndelag - Trööndelage,50,Trøndelag,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Informasjons- og kommunikasjonsteknologi,Informasjons- og kommunikasjonsteknologi,0.0,0.0,213000000.0,0.0,
145830,"Centre for Societal Safety, Risk and Uncertainty Management",,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,UNIVERSITETET I STAVANGER,UIS,971564679,106,00,UoH-sektor,Universiteter,Stavanger,1103,Rogaland,11,Agder og Rogaland,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Teknologi - tverrfaglig,Andre fellesfag - teknologi (2003),0.0,0.0,100000000.0,0.0,
145831,Center for the Study of Algorithms for Efficient Computation,,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2003,2012,Vurderes,2003,2012,MANN,Organisasjon,DET MATEMATISK-NATURVITENSKAPELIGE FAKULTET,UIB,0,101,15,UoH-sektor,Universiteter,Bergen,4601,Vestland,46,Vestlandet,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Informasjons- og kommunikasjonsteknologi,Informasjons- og kommunikasjonsteknologi,0.0,0.0,108366000.0,0.0,
145832,CoE in Coding Theory and Cryptography,,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2012,Vurderes,2002,2012,MANN,Organisasjon,DET MATEMATISK-NATURVITENSKAPELIGE FAKULTET,UIB,0,101,15,UoH-sektor,Universiteter,Bergen,4601,Vestland,46,Vestlandet,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Informasjons- og kommunikasjonsteknologi,Informasjons- og kommunikasjonsteknologi,0.0,0.0,103100000.0,0.0,
145833,Centre of Excellence in Measurement Science,,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,CHRISTIAN MICHELSEN RESEARCH AS,CMR,965243798,706,01,Instituttsektor,Teknisk-industrielle institutter,Bergen,4601,Vestland,46,Vestlandet,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Informasjons- og kommunikasjonsteknologi,Informasjons- og kommunikasjonsteknologi,0.0,0.0,100000000.0,0.0,
145834,"MicroTech  (SINTEF, UiO)",,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,Sintef - Oslo,SINTEF,0,702,14,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Oslo,0301,Oslo,03,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Informasjons- og kommunikasjonsteknologi,Informasjons- og kommunikasjonsteknologi,0.0,0.0,200000000.0,0.0,
145835,Risk&Safety.no - Center for Advanced Studies of Risk Assessment and Safety Management  at SINTEF/NTNU,,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,SINTEF TEKNOLOGI OG SAMFUNN AVD TRONDHEIM,SINTEF,0,702,14,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Trondheim - Tråante,5001,Trøndelag - Trööndelage,50,Trøndelag,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Teknologi - tverrfaglig,Andre fellesfag - teknologi (2003),0.0,0.0,71000000.0,0.0,
145939,"The Trondheim Plankton & technology Centre of Excellence (SFF), TROPLATE",,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU,NTNU,974767880,104,00,UoH-sektor,Universiteter,Trondheim - Tråante,5001,Trøndelag - Trööndelage,50,Trøndelag,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Landbruks- og fiskerifag,Fiskerifag,Fiskerifag,0.0,0.0,153000000.0,0.0,
145940,Marine Pelagig Food Web Centre,,2002-01-11 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2012,Vurderes,2002,2012,MANN,Organisasjon,UNIVERSITETET I BERGEN,UIB,874789542,101,00,UoH-sektor,Universiteter,Bergen,4601,Vestland,46,Vestlandet,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Landbruks- og fiskerifag,Fiskerifag,Fiskerifag,0.0,0.0,186000000.0,0.0,
145941,Centre of Excellence in Bioeconomic Research,,2002-01-08 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2012,Vurderes,2002,2012,MANN,Organisasjon,SAMFUNNS- OG NÆRINGSLIVSFORSKNING AS,SNF,984005776,702,23,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Bergen,4601,Vestland,46,Vestlandet,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Landbruks- og fiskerifag,Landbruksfag,Landbruksfag,0.0,0.0,100000000.0,0.0,
145942,"Reproduction, Early Development and Health of Fish - Environmental  Control, Molecular and Endocrine Mechanisms",,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,HAVFORSKNINGSINSTITUTTET,HI,971349077,701,16,Instituttsektor,Primærnæringsinstitutter,Bergen,4601,Vestland,46,Vestlandet,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Landbruks- og fiskerifag,Fiskerifag,Fiskerifag,0.0,0.0,200000000.0,0.0,
145943,Census Of Living Marine Resources - COE,,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,HAVFORSKNINGSINSTITUTTET,HI,971349077,701,16,Instituttsektor,Primærnæringsinstitutter,Bergen,4601,Vestland,46,Vestlandet,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Landbruks- og fiskerifag,Fiskerifag,Fiskerifag,0.0,0.0,200000000.0,0.0,
145946,The Marine BioCentre in Tromsø (MABCENT),,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,UNIVERSITETET I TROMSØ - NORGES ARKTISKE UNIVERSITET,UIT,970422528,103,00,UoH-sektor,Universiteter,Tromsø,5501,Troms - Romsa - Tromssa,55,Nord-Norge,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Landbruks- og fiskerifag,Fiskerifag,Fiskerifag,0.0,0.0,158000000.0,0.0,
145947,Centre for Integrative Genetics (CIGENE),,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,NORGES MILJØ- OG BIOVITENSKAPELIGE UNIVERSITET (NMBU),NMBU,969159570,105,00,UoH-sektor,Universiteter,Ås,3218,Akershus,32,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Bioteknologi,Bioteknologi,0.0,0.0,161100000.0,0.0,
145948,Cereal Genomics with Relevance to Nordic Climate,,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,NORGES MILJØ- OG BIOVITENSKAPELIGE UNIVERSITET (NMBU),NMBU,969159570,105,00,UoH-sektor,Universiteter,Ås,3218,Akershus,32,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Bioteknologi,Bioteknologi,0.0,0.0,114000000.0,0.0,
145949,"Aquaculture Protein Centre, APC/Senter for proteinforskning i akvakultur",,2002-01-11 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2012,Avsluttet,2002,2014,KVINNE,Organisasjon,NORGES MILJØ- OG BIOVITENSKAPELIGE UNIVERSITET (NMBU),NMBU,969159570,105,00,UoH-sektor,Universiteter,Ås,3218,Akershus,32,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Landbruks- og fiskerifag,Fiskerifag,Fiskerifag,62.73,19.88,150000000.0,100000000.0,Margareth Øverland
145951,Centre for Microbial Biotechnology,,2002-01-11 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,NORGES MILJØ- OG BIOVITENSKAPELIGE UNIVERSITET (NMBU),NMBU,969159570,105,00,UoH-sektor,Universiteter,Ås,3218,Akershus,32,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Bioteknologi,Bioteknologi,0.0,0.0,154400000.0,0.0,
145955,FOQ - Fish Quality Center,,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,NASJONALT INSTITUTT FOR ERNÆRINGS- OG SJØMATFORSKNING (NIFES),NIFES,979529783,701,17,Instituttsektor,Primærnæringsinstitutter,Bergen,4601,Vestland,46,Vestlandet,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Næringsmiddelteknologi,Næringsmiddelteknologi,0.0,0.0,225000000.0,0.0,
145957,Fish Nutrition Centre - FNC,,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,NASJONALT INSTITUTT FOR ERNÆRINGS- OG SJØMATFORSKNING (NIFES),NIFES,979529783,701,17,Instituttsektor,Primærnæringsinstitutter,Bergen,4601,Vestland,46,Vestlandet,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Teknologi,Næringsmiddelteknologi,Næringsmiddelteknologi,0.0,0.0,70000000.0,0.0,
145958,Centre for Cancer Cell Research,,2002-01-11 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,RADFORSK INVESTERINGSSTIFTELSE,RH,952715704,930,19,Øvrige,Øvrige andre,Oslo,0301,Oslo,03,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Medisin og helsefag,"Basale medisinske, odont. og veterinærmed. fag",Medisinsk biokjemi,0.0,0.0,5300000.0,0.0,
145960,Center for the study of mental health,,2001-04-04 00:00:00,,,,Institusjonsstøtte,Forskningssenter,Vitenskapelig rettet forskningssenter,2002,2011,Vurderes,2002,2011,MANN,Organisasjon,Psykologisk institutt,UIO,0,102,10,UoH-sektor,Universiteter,Oslo,0301,Oslo,03,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,11,SFF/SFI/FME,Sentre for fremragende forskning,SFF,Samfunnsvitenskap,Psykologi,Psykologi,0.0,0.0,14500000.0,0.0,
